Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0185232252	-37.0499762	-37.0499762	-37.0499762	-37.0499762	0	0	0	0	0	0	3
2	2	0	0.0370464503	-5.87059754	-21.4602869	-37.0499762	-5.87059754	15.5896893	0	0	0	0	0	3
3	2	0	0.0555696755	-1.44896762	-14.7898471	-37.0499762	-1.44896762	22.2601291	0	0	0	0	0	3
4	3	0	0.0740929006	-0.927621499	-11.3242907	-37.0499762	-0.927621499	25.7256855	0	0	0	0	0	3
5	3	0	0.0926161258	-0.939295092	-9.24729159	-37.0499762	-0.927621499	27.8026846	0	0	0	0	0	3
6	4	0	0.111139351	-0.931274012	-7.86128866	-37.0499762	-0.927621499	29.1886876	0	0	0	0	0	3
7	4	0	0.129662576	-0.897946398	-6.86652548	-37.0499762	-0.897946398	30.1834507	0	0	0	0	0	3
8	5	0	0.148185801	-0.892192596	-6.11973387	-37.0499762	-0.892192596	30.9302423	0	0	0	0	0	3
9	6	0	0.166709026	-0.85492121	-5.53475469	-37.0499762	-0.85492121	31.5152215	0	0	0	0	0	3
10	6	0	0.185232252	-0.853448472	-5.06662406	-37.0499762	-0.853448472	31.9833522	0	0	0	0	0	3
11	7	0	0.203755477	-0.832377583	-4.68169257	-37.0499762	-0.832377583	32.3682837	0	0	0	0	0	3
12	8	0	0.222278702	-0.81979319	-4.35986762	-37.0499762	-0.81979319	32.6901086	0	0	0	0	0	3
13	8	0	0.240801927	-0.817702265	-4.08739336	-37.0499762	-0.817702265	32.9625829	0	0	0	0	0	3
14	9	0	0.259325152	-0.817005669	-3.85379424	-37.0499762	-0.817005669	33.196182	0	0	0	0	0	3
15	9	0	0.277848377	-0.814324802	-3.65116294	-37.0499762	-0.814324802	33.3988133	0	0	0	0	0	3
16	10	0	0.296371603	-0.808678208	-3.47350765	-37.0499762	-0.808678208	33.5764686	0	0	0	0	0	3
17	11	0	0.314894828	-0.807326014	-3.31667343	-37.0499762	-0.807326014	33.7333028	0	0	0	0	0	3
18	11	0	0.333418053	-0.807015986	-3.17724802	-37.0499762	-0.807015986	33.8727282	0	0	0	0	0	3
19	12	0	0.351941278	-0.813653751	-3.05284832	-37.0499762	-0.807015986	33.9971279	0	0	0	0	0	3
20	12	0	0.370464503	-0.820454408	-2.94122863	-37.0499762	-0.807015986	34.1087476	0	0	0	0	0	3
21	13	0	0.388987728	-0.824781843	-2.84044545	-37.0499762	-0.807015986	34.2095308	0	0	0	0	0	3
22	13	0	0.407510954	-0.8299079	-2.74905738	-37.0499762	-0.807015986	34.3009188	0	0	0	0	0	3
23	14	0	0.426034179	-0.836146815	-2.66588735	-37.0499762	-0.807015986	34.3840889	0	0	0	0	0	3
24	15	0	0.444557404	-0.838820669	-2.58975957	-37.0499762	-0.807015986	34.4602166	0	0	0	0	0	3
25	16	0	0.463080629	-0.841027162	-2.51981028	-37.0499762	-0.807015986	34.5301659	0	0	0	0	0	3
26	17	0	0.481603854	-0.838608467	-2.45514867	-37.0499762	-0.807015986	34.5948276	0	0	0	0	0	3
27	17	0	0.500127079	-0.836277673	-2.39519048	-37.0499762	-0.807015986	34.6547857	0	0	0	0	0	3
28	18	0	0.518650305	-0.833369447	-1.05383468	-5.87059754	-0.807015986	5.06358155	0	0	0	0	0	3
29	19	0	0.53717353	-0.829923097	-0.867143031	-1.44896762	-0.807015986	0.641951629	0	0	0	0	0	3
30	19	0	0.555696755	-0.822885088	-0.843954789	-0.939295092	-0.807015986	0.132279105	0	0	0	0	0	3
31	20	0	0.57421998	-0.817586468	-0.839879418	-0.939295092	-0.807015986	0.132279105	0	0	0	0	0	3
32	20	0	0.592743205	-0.80944095	-0.835070005	-0.931274012	-0.807015986	0.124258025	0	0	0	0	0	3
33	21	0	0.61126643	-0.800862691	-0.830239956	-0.897946398	-0.800862691	0.0970837068	0	0	0	0	0	3
34	22	0	0.629789656	-0.792371338	-0.826329769	-0.892192596	-0.792371338	0.099821258	0	0	0	0	0	3
35	22	0	0.648312881	-0.784374608	-0.82233651	-0.85492121	-0.784374608	0.070546602	0	0	0	0	0	3
36	23	0	0.666836106	-0.776196287	-0.819420772	-0.853448472	-0.776196287	0.0772521855	0	0	0	0	0	3
37	24	0	0.685359331	-0.768509249	-0.816274875	-0.841027162	-0.768509249	0.0725179128	0	0	0	0	0	3
38	24	0	0.703882556	-0.760331028	-0.813606484	-0.841027162	-0.760331028	0.0806961331	0	0	0	0	0	3
39	25	0	0.722405781	-0.751151143	-0.811064186	-0.841027162	-0.751151143	0.0898760183	0	0	0	0	0	3
40	25	0	0.740929006	-0.744062761	-0.808336797	-0.841027162	-0.744062761	0.0969644007	0	0	0	0	0	3
41	26	0	0.759452232	-0.736024357	-0.805337489	-0.841027162	-0.736024357	0.105002805	0	0	0	0	0	3
42	27	0	0.777975457	-0.725144476	-0.802034514	-0.841027162	-0.725144476	0.115882685	0	0	0	0	0	3
43	27	0	0.796498682	-0.714447485	-0.798544487	-0.841027162	-0.714447485	0.126579677	0	0	0	0	0	3
44	28	0	0.815021907	-0.70112164	-0.794610992	-0.841027162	-0.70112164	0.139905522	0	0	0	0	0	3
45	28	0	0.833545132	-0.687942312	-0.790200856	-0.841027162	-0.687942312	0.15308485	0	0	0	0	0	3
46	29	0	0.852068357	-0.676427288	-0.785118394	-0.841027162	-0.676427288	0.164599873	0	0	0	0	0	3
47	29	0	0.870591583	-0.667124473	-0.779439508	-0.841027162	-0.667124473	0.173902689	0	0	0	0	0	3
48	30	0	0.889114808	-0.660770741	-0.773365023	-0.841027162	-0.660770741	0.18025642	0	0	0	0	0	3
49	31	0	0.907638033	-0.656794647	-0.766953421	-0.841027162	-0.656794647	0.184232514	0	0	0	0	0	3
50	31	0	0.926161258	-0.652183477	-0.760139964	-0.841027162	-0.652183477	0.188843684	0	0	0	0	0	3
51	32	0	0.944684483	-0.648965193	-0.753108279	-0.841027162	-0.648965193	0.192061968	0	0	0	0	0	3
52	33	0	0.963207708	-0.644895929	-0.74584416	-0.838608467	-0.644895929	0.193712538	0	0	0	0	0	3
53	33	0	0.981730934	-0.642775005	-0.738591069	-0.836277673	-0.642775005	0.193502668	0	0	0	0	0	3
54	34	0	1.00025416	-0.643628617	-0.731455918	-0.833369447	-0.642775005	0.190594442	0.0241857783	12.6	0	0	0	3
55	34	0	1.01877738	-0.648949182	-0.724625538	-0.829923097	-0.642775005	0.142517493	0.0241857783	16.9	0	0	0	3
56	35	0	1.03730061	-0.656990822	-0.718220639	-0.822885088	-0.642775005	0.12573415	0.0241857783	19.2	0	0	0	3
57	35	0	1.05582383	-0.664000697	-0.712336032	-0.817586468	-0.642775005	0.127543386	0.0241857783	18.9	0	0	0	3
58	36	0	1.07434706	-0.665927246	-0.706719024	-0.80944095	-0.642775005	0.128350982	0.0241857783	18.8	0	0	0	3
59	37	0	1.09287028	-0.664006691	-0.70133257	-0.800862691	-0.642775005	0.128907387	0.0241857783	18.7	0	0	0	3
60	38	0	1.11139351	-0.660300327	-0.696126556	-0.792371338	-0.642775005	0.130203213	0.0241857783	18.5	0	0	0	3
61	39	0	1.12991673	-0.664088072	-0.691375324	-0.784374608	-0.642775005	0.130961186	0.0241857783	18.4	0	0	0	3
62	39	0	1.14843996	-0.670282034	-0.687149673	-0.776196287	-0.642775005	0.132271099	0.0241857783	18.2	0	0	0	3
63	40	0	1.16696319	-0.674923978	-0.683398847	-0.768509249	-0.642775005	0.125734244	0.0241857783	19.2	0	0	0	3
64	40	0	1.18548641	-0.674323384	-0.679910482	-0.760331028	-0.642775005	0.117556023	0.0241857783	20.5	0	0	0	3
65	41	0	1.20400964	-0.670468807	-0.676582251	-0.751151143	-0.642775005	0.108376138	0.0241857783	22.3	0	0	0	3
66	41	0	1.22253286	-0.666747136	-0.673456177	-0.744062761	-0.642775005	0.101287756	0.0241857783	23.8	0	0	0	3
67	42	0	1.24105609	-0.665479456	-0.670545684	-0.736024357	-0.642775005	0.0932493517	0.0241857783	25.9	0	0	0	3
68	42	0	1.25957931	-0.66907109	-0.668065934	-0.725144476	-0.642775005	0.0823694712	0.0241857783	29.3	0	0	0	3
69	43	0	1.27810254	-0.673129463	-0.666139452	-0.714447485	-0.642775005	0.07167248	0.0241857783	33.7	0	0	0	3
70	43	0	1.29662576	-0.676812687	-0.66474557	-0.70112164	-0.642775005	0.0583466349	0.0241857783	41.4	0	0	0	3
71	44	0	1.31514899	-0.676199432	-0.663822525	-0.687942312	-0.642775005	0.0451673069	0.0241857783	53.5	0	0	0	3
72	45	0	1.33367221	-0.672685231	-0.663257448	-0.676812687	-0.642775005	0.0340376819	0.0241857783	71	0	0	0	3
73	45	0	1.35219544	-0.670267499	-0.663029308	-0.676812687	-0.642775005	0.0340376819	0.0241857783	71	0	0	0	3
74	46	0	1.37071866	-0.670292835	-0.663146655	-0.676812687	-0.642775005	0.0340376819	0.0241857783	71	0	0	0	3
75	46	0	1.38924189	-0.673499716	-0.663618098	-0.676812687	-0.642775005	0.0340376819	0.0241857783	71	0	0	0	3
76	47	0	1.40776511	-0.676635495	-0.664352944	-0.676812687	-0.642775005	0.0340376819	0.0241857783	71	0	0	0	3
77	48	0	1.42628834	-0.678162471	-0.665315129	-0.678162471	-0.642775005	0.035387466	0.0241857783	68.3	0	0	0	3
78	48	0	1.44481156	-0.676895242	-0.666349576	-0.678162471	-0.642775005	0.035387466	0.0241857783	68.3	0	0	0	3
79	49	0	1.46333479	-0.674939765	-0.66746231	-0.678162471	-0.642775005	0.035387466	0.0241857783	68.3	0	0	0	3
80	49	0	1.48185801	-0.674648884	-0.668642824	-0.678162471	-0.643628617	0.0345338535	0.0241857783	70	0	0	0	3
81	50	0	1.50038124	-0.677086167	-0.669881993	-0.678162471	-0.648949182	0.029213289	0.0241857783	82.7	0	0	0	3
82	50	0	1.51890446	-0.679730633	-0.671022047	-0.679730633	-0.656990822	0.0227398109	0.0241857783	100	0	0	0	3
