Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0185232252	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.0370464503	0	0	0	0	0	0	0	0	0	0	3
3	2	0	0.0555696755	0	0	0	0	0	0	0	0	0	0	3
4	3	0	0.0740929006	0	0	0	0	0	0	0	0	0	0	3
5	3	0	0.0926161258	0	0	0	0	0	0	0	0	0	0	3
6	4	0	0.111139351	0	0	0	0	0	0	0	0	0	0	3
7	4	0	0.129662576	0	0	0	0	0	0	0	0	0	0	3
8	5	0	0.148185801	0	0	0	0	0	0	0	0	0	0	3
9	6	0	0.166709026	0	0	0	0	0	0	0	0	0	0	3
10	6	0	0.185232252	0	0	0	0	0	0	0	0	0	0	3
11	7	0	0.203755477	0	0	0	0	0	0	0	0	0	0	3
12	8	0	0.222278702	0	0	0	0	0	0	0	0	0	0	3
13	8	0	0.240801927	0	0	0	0	0	0	0	0	0	0	3
14	9	0	0.259325152	0	0	0	0	0	0	0	0	0	0	3
15	9	0	0.277848377	0	0	0	0	0	0	0	0	0	0	3
16	10	0	0.296371603	0	0	0	0	0	0	0	0	0	0	3
17	11	0	0.314894828	0	0	0	0	0	0	0	0	0	0	3
18	11	0	0.333418053	0	0	0	0	0	0	0	0	0	0	3
19	12	0	0.351941278	0	0	0	0	0	0	0	0	0	0	3
20	12	0	0.370464503	0	0	0	0	0	0	0	0	0	0	3
21	13	0	0.388987728	0	0	0	0	0	0	0	0	0	0	3
22	13	0	0.407510954	0	0	0	0	0	0	0	0	0	0	3
23	14	0	0.426034179	0	0	0	0	0	0	0	0	0	0	3
24	15	0	0.444557404	0	0	0	0	0	0	0	0	0	0	3
25	16	0	0.463080629	0	0	0	0	0	0	0	0	0	0	3
26	17	0	0.481603854	0	0	0	0	0	0	0	0	0	0	3
27	17	0	0.500127079	0	0	0	0	0	0	0	0	0	0	3
28	18	0	0.518650305	0	0	0	0	0	0	0	0	0	0	3
29	19	0	0.53717353	0	0	0	0	0	0	0	0	0	0	3
30	19	0	0.555696755	0	0	0	0	0	0	0	0	0	0	3
31	20	0	0.57421998	0	0	0	0	0	0	0	0	0	0	3
32	20	0	0.592743205	0	0	0	0	0	0	0	0	0	0	3
33	21	0	0.61126643	0	0	0	0	0	0	0	0	0	0	3
34	22	0	0.629789656	0	0	0	0	0	0	0	0	0	0	3
35	22	0	0.648312881	0	0	0	0	0	0	0	0	0	0	3
36	23	0	0.666836106	0	0	0	0	0	0	0	0	0	0	3
37	24	0	0.685359331	0	0	0	0	0	0	0	0	0	0	3
38	24	0	0.703882556	0	0	0	0	0	0	0	0	0	0	3
39	25	0	0.722405781	0	0	0	0	0	0	0	0	0	0	3
40	25	0	0.740929006	0	0	0	0	0	0	0	0	0	0	3
41	26	0	0.759452232	0	0	0	0	0	0	0	0	0	0	3
42	27	0	0.777975457	0	0	0	0	0	0	0	0	0	0	3
43	27	0	0.796498682	0	0	0	0	0	0	0	0	0	0	3
44	28	0	0.815021907	0	0	0	0	0	0	0	0	0	0	3
45	28	0	0.833545132	0	0	0	0	0	0	0	0	0	0	3
46	29	0	0.852068357	0	0	0	0	0	0	0	0	0	0	3
47	29	0	0.870591583	0	0	0	0	0	0	0	0	0	0	3
48	30	0	0.889114808	0	0	0	0	0	0	0	0	0	0	3
49	31	0	0.907638033	0	0	0	0	0	0	0	0	0	0	3
50	31	0	0.926161258	0	0	0	0	0	0	0	0	0	0	3
51	32	0	0.944684483	0	0	0	0	0	0	0	0	0	0	3
52	33	0	0.963207708	0	0	0	0	0	0	0	0	0	0	3
53	33	0	0.981730934	0	0	0	0	0	0	0	0	0	0	3
54	34	0	1.00025416	0	0	0	0	0	0.001	0	0	0	0	3
55	34	0	1.01877738	0	0	0	0	0	0.001	0	0	0	0	3
56	35	0	1.03730061	0	0	0	0	0	0.001	0	0	0	0	3
57	35	0	1.05582383	0	0	0	0	0	0.001	0	0	0	0	3
58	36	0	1.07434706	0	0	0	0	0	0.001	0	0	0	0	3
59	37	0	1.09287028	0	0	0	0	0	0.001	0	0	0	0	3
60	38	0	1.11139351	0	0	0	0	0	0.001	0	0	0	0	3
61	39	0	1.12991673	0	0	0	0	0	0.001	0	0	0	0	3
62	39	0	1.14843996	0	0	0	0	0	0.001	0	0	0	0	3
63	40	0	1.16696319	0	0	0	0	0	0.001	0	0	0	0	3
64	40	0	1.18548641	0	0	0	0	0	0.001	0	0	0	0	3
65	41	0	1.20400964	0	0	0	0	0	0.001	0	0	0	0	3
66	41	0	1.22253286	0	0	0	0	0	0.001	0	0	0	0	3
67	42	0	1.24105609	0	0	0	0	0	0.001	0	0	0	0	3
68	42	0	1.25957931	0	0	0	0	0	0.001	0	0	0	0	3
69	43	0	1.27810254	0	0	0	0	0	0.001	0	0	0	0	3
70	43	0	1.29662576	0	0	0	0	0	0.001	0	0	0	0	3
71	44	0	1.31514899	0	0	0	0	0	0.001	0	0	0	0	3
72	45	0	1.33367221	0	0	0	0	0	0.001	0	0	0	0	3
73	45	0	1.35219544	0	0	0	0	0	0.001	0	0	0	0	3
74	46	0	1.37071866	0	0	0	0	0	0.001	0	0	0	0	3
75	46	0	1.38924189	0	0	0	0	0	0.001	0	0	0	0	3
76	47	0	1.40776511	0	0	0	0	0	0.001	0	0	0	0	3
77	48	0	1.42628834	0	0	0	0	0	0.001	0	0	0	0	3
78	48	0	1.44481156	0	0	0	0	0	0.001	0	0	0	0	3
79	49	0	1.46333479	0	0	0	0	0	0.001	0	0	0	0	3
80	49	0	1.48185801	0	0	0	0	0	0.001	0	0	0	0	3
81	50	0	1.50038124	0	0	0	0	0	0.001	0	0	0	0	3
82	50	0	1.51890446	0	0	0	0	0	0.001	0	0	0	0	3
