Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0185232252	101340.276	101340.276	101340.276	101340.276	0	0	0	15198.8	0	0	3
2	2	0	0.0370464503	101335.235	101337.756	101335.235	101340.276	2.52079064	0	0	7808.04	0	0	3
3	2	0	0.0555696755	101328.785	101334.766	101328.785	101340.276	5.51099759	0	0	5632.16	0	0	3
4	3	0	0.0740929006	101329.129	101333.356	101328.785	101340.276	6.92004753	0	0	2964.08	0	0	3
5	3	0	0.0926161258	101328.717	101332.429	101328.717	101340.276	7.84785434	0	0	2412.32	0	0	3
6	4	0	0.111139351	101328.878	101331.837	101328.717	101340.276	8.43957458	0	0	2276.74	0	0	3
7	4	0	0.129662576	101328.534	101331.365	101328.534	101340.276	8.91136186	0	0	2158.65	0	0	3
8	5	0	0.148185801	101328.534	101331.011	101328.534	101340.276	9.26526031	0	0	2041.85	0	0	3
9	6	0	0.166709026	101328.329	101330.713	101328.329	101340.276	9.56324171	0	0	1926.47	0	0	3
10	6	0	0.185232252	101328.283	101330.47	101328.283	101340.276	9.80628695	0	0	1863.28	0	0	3
11	7	0	0.203755477	101328.04	101330.249	101328.04	101340.276	10.0272034	0	0	1786.47	0	0	3
12	8	0	0.222278702	101327.961	101330.059	101327.961	101340.276	10.2178784	0	0	1718.78	0	0	3
13	8	0	0.240801927	101327.742	101329.88	101327.742	101340.276	10.3960456	0	0	1647.81	0	0	3
14	9	0	0.259325152	101327.6	101329.718	101327.6	101340.276	10.5589701	0	0	1572.57	0	0	3
15	9	0	0.277848377	101327.435	101329.565	101327.435	101340.276	10.7111282	0	0	1510.91	0	0	3
16	10	0	0.296371603	101327.344	101329.427	101327.344	101340.276	10.8499493	0	0	1468.14	0	0	3
17	11	0	0.314894828	101327.12	101329.291	101327.12	101340.276	10.9856015	0	0	1421.6	0	0	3
18	11	0	0.333418053	101326.929	101329.16	101326.929	101340.276	11.1168431	0	0	1376.46	0	0	3
19	12	0	0.351941278	101326.678	101329.029	101326.678	101340.276	11.2474304	0	0	1328.52	0	0	3
20	12	0	0.370464503	101326.46	101328.901	101326.46	101340.276	11.375882	0	0	1281.46	0	0	3
21	13	0	0.388987728	101326.213	101328.773	101326.213	101340.276	11.503846	0	0	1247.86	0	0	3
22	13	0	0.407510954	101325.897	101328.642	101325.897	101340.276	11.6345408	0	0	1210.63	0	0	3
23	14	0	0.426034179	101325.578	101328.509	101325.578	101340.276	11.7677535	0	0	1189.76	0	0	3
24	15	0	0.444557404	101325.283	101328.374	101325.283	101340.276	11.9021389	0	0	1179.57	0	0	3
25	16	0	0.463080629	101325.028	101328.241	101325.028	101340.276	12.0359795	0	0	1176.71	0	0	3
26	17	0	0.481603854	101324.921	101328.113	101324.921	101340.276	12.1636484	0	0	1170.56	0	0	3
27	17	0	0.500127079	101324.816	101327.991	101324.816	101340.276	12.2857429	0	0	1163.75	0	0	3
28	18	0	0.518650305	101324.809	101327.418	101324.809	101335.235	10.3378081	0	0	1161.63	0	0	3
29	19	0	0.53717353	101324.835	101327.033	101324.809	101329.129	4.31990874	0	0	1158.54	0	0	3
30	19	0	0.555696755	101324.925	101326.89	101324.809	101329.129	4.31990874	0	0	1155.05	0	0	3
