Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0185232252	293.206135	293.206135	293.206135	293.206135	0	0	0	1.02215	0	0	3
2	2	0	0.0370464503	293.20643	293.206283	293.206135	293.20643	0.000147441303	0	0	0.989234	0	0	3
3	2	0	0.0555696755	293.206601	293.206389	293.206135	293.206601	0.000253557586	0	0	0.917739	0	0	3
4	3	0	0.0740929006	293.206789	293.206489	293.206135	293.206789	0.000353524684	0	0	0.892385	0	0	3
5	3	0	0.0926161258	293.206962	293.206583	293.206135	293.206962	0.000448067502	0	0	0.877519	0	0	3
6	4	0	0.111139351	293.207261	293.206696	293.206135	293.207261	0.0005609435	0	0	0.856732	0	0	3
7	4	0	0.129662576	293.207598	293.206825	293.206135	293.207598	0.000689701477	0	0	0.837205	0	0	3
8	5	0	0.148185801	293.207949	293.206966	293.206135	293.207949	0.000830185875	0	0	0.820965	0	0	3
9	6	0	0.166709026	293.208292	293.207113	293.206135	293.208292	0.000977609028	0	0	0.806641	0	0	3
10	6	0	0.185232252	293.208634	293.207265	293.206135	293.208634	0.00112971062	0	0	0.798613	0	0	3
11	7	0	0.203755477	293.209169	293.207438	293.206135	293.209169	0.00130282885	0	0	0.801459	0	0	3
12	8	0	0.222278702	293.209681	293.207625	293.206135	293.209681	0.00148975217	0	0	0.805003	0	0	3
13	8	0	0.240801927	293.210177	293.207821	293.206135	293.210177	0.00168602163	0	0	0.807877	0	0	3
14	9	0	0.259325152	293.210654	293.208024	293.206135	293.210654	0.00188831392	0	0	0.810509	0	0	3
15	9	0	0.277848377	293.211115	293.20823	293.206135	293.211115	0.0020943865	0	0	0.813216	0	0	3
16	10	0	0.296371603	293.211789	293.208452	293.206135	293.211789	0.002316851	0	0	0.816191	0	0	3
17	11	0	0.314894828	293.212434	293.208686	293.206135	293.212434	0.00255104352	0	0	0.818056	0	0	3
18	11	0	0.333418053	293.213054	293.208929	293.206135	293.213054	0.00279367588	0	0	0.818695	0	0	3
19	12	0	0.351941278	293.213652	293.209178	293.206135	293.213652	0.00304222831	0	0	0.81929	0	0	3
20	12	0	0.370464503	293.214225	293.20943	293.206135	293.214225	0.0032946124	0	0	0.818801	0	0	3
21	13	0	0.388987728	293.215044	293.209697	293.206135	293.215044	0.00356194696	0	0	0.818633	0	0	3
22	13	0	0.407510954	293.215808	293.209975	293.206135	293.215808	0.00383972581	0	0	0.819108	0	0	3
23	14	0	0.426034179	293.216528	293.21026	293.206135	293.216528	0.00412464988	0	0	0.817931	0	0	3
24	15	0	0.444557404	293.217191	293.210549	293.206135	293.217191	0.00441344625	0	0	0.816789	0	0	3
25	16	0	0.463080629	293.217788	293.210838	293.206135	293.217788	0.00470299938	0	0	0.817107	0	0	3
26	17	0	0.481603854	293.218534	293.211134	293.206135	293.218534	0.00499898293	0	0	0.816101	0	0	3
27	17	0	0.500127079	293.219162	293.211432	293.206135	293.219162	0.00529630281	0	0	0.815964	0	0	3
28	18	0	0.518650305	293.21968	293.211933	293.20643	293.21968	0.00565050961	0	0	0.816752	0	0	3
29	19	0	0.53717353	293.220136	293.212441	293.206601	293.220136	0.00605201275	0	0	0.815687	0	0	3
30	19	0	0.555696755	293.22055	293.212958	293.206789	293.22055	0.00646868016	0	0	0.816096	0	0	3
31	20	0	0.57421998	293.221094	293.213487	293.206962	293.221094	0.00690396278	0	0	0.8164	0	0	3
32	20	0	0.592743205	293.221636	293.214031	293.207261	293.221636	0.0073345908	0	0	0.814359	0	0	3
33	21	0	0.61126643	293.222175	293.214583	293.207598	293.222175	0.00775823078	0	0	0.812358	0	0	3
34	22	0	0.629789656	293.222701	293.215143	293.207949	293.222701	0.00817712141	0	0	0.810981	0	0	3
35	22	0	0.648312881	293.223187	293.215707	293.208292	293.223187	0.0085940697	0	0	0.812867	0	0	3
36	23	0	0.666836106	293.223752	293.21628	293.208634	293.223752	0.00901454215	0	0	0.819174	0	0	3
37	24	0	0.685359331	293.224258	293.216858	293.209169	293.224258	0.00942007132	0	0	0.821314	0	0	3
38	24	0	0.703882556	293.224697	293.217433	293.209681	293.224697	0.0098082347	0	0	0.822993	0	0	3
39	25	0	0.722405781	293.225035	293.218002	293.210177	293.225035	0.0101806378	0	0	0.825858	0	0	3
40	25	0	0.740929006	293.225299	293.218562	293.210654	293.225299	0.0105384442	0	0	0.827047	0	0	3
41	26	0	0.759452232	293.225518	293.219113	293.211115	293.225518	0.0108829065	0	0	0.830209	0	0	3
42	27	0	0.777975457	293.225732	293.219654	293.211789	293.225732	0.0112018163	0	0	0.827332	0	0	3
43	27	0	0.796498682	293.225957	293.220179	293.212434	293.225957	0.0114923617	0	0	0.820749	0	0	3
44	28	0	0.815021907	293.226204	293.220689	293.213054	293.226204	0.0117597313	0	0	0.813292	0	0	3
45	28	0	0.833545132	293.226419	293.221184	293.213652	293.226419	0.0120061951	0	0	0.807817	0	0	3
46	29	0	0.852068357	293.226595	293.221663	293.214225	293.226595	0.0122331918	0	0	0.802193	0	0	3
47	29	0	0.870591583	293.226625	293.222122	293.215044	293.226625	0.0115809867	0	0	0.80873	0	0	3
48	30	0	0.889114808	293.226744	293.222556	293.215808	293.226744	0.0109355627	0	0	0.809315	0	0	3
49	31	0	0.907638033	293.226807	293.222963	293.216528	293.226807	0.0102783488	0	0	0.810401	0	0	3
50	31	0	0.926161258	293.226871	293.223346	293.217191	293.226871	0.00968024776	0	0	0.814232	0	0	3
51	32	0	0.944684483	293.226908	293.223706	293.217788	293.226908	0.00912037244	0	0	0.813591	0	0	3
52	33	0	0.963207708	293.226904	293.224044	293.218534	293.226908	0.00837407525	0	0	0.816144	0	0	3
53	33	0	0.981730934	293.226831	293.224351	293.219162	293.226908	0.0077460274	0	0	0.812264	0	0	3
54	34	0	1.00025416	293.226712	293.224631	293.21968	293.226908	0.00722814824	0.000609205707	0	0.810613	0	0	3
55	34	0	1.01877738	293.226526	293.224884	293.220136	293.226908	0.0067720401	0.000609205707	0	0.805874	0	0	3
56	35	0	1.03730061	293.226329	293.225114	293.22055	293.226908	0.00635772509	0.000609205707	0	0.803284	0	0	3
57	35	0	1.05582383	293.226119	293.22532	293.221094	293.226908	0.00581393433	0.000609205707	0	0.799103	0	0	3
58	36	0	1.07434706	293.225891	293.225497	293.221636	293.226908	0.00527179978	0.000609205707	0	0.79743	0	0	3
59	37	0	1.09287028	293.225623	293.225645	293.222175	293.226908	0.00473257876	0.000609205707	0	0.802348	0	0	3
60	38	0	1.11139351	293.225384	293.225764	293.222701	293.226908	0.00420727197	0.000609205707	0	0.808663	0	0	3
61	39	0	1.12991673	293.225244	293.225858	293.223187	293.226908	0.00372104128	0.000609205707	0	0.808412	0	0	3
62	39	0	1.14843996	293.22523	293.225934	293.223752	293.226908	0.00315615373	0.000609205707	0	0.805669	0	0	3
63	40	0	1.16696319	293.225258	293.22599	293.224258	293.226908	0.00265054211	0.000609205707	0	0.801495	0	0	3
64	40	0	1.18548641	293.225277	293.226027	293.224697	293.226908	0.00221129515	0.000609205707	0	0.795273	0	0	3
65	41	0	1.20400964	293.225248	293.226048	293.225035	293.226908	0.0018725791	0.000609205707	0	0.790319	0	0	3
66	41	0	1.22253286	293.22518	293.226053	293.22518	293.226908	0.00172792967	0.000609205707	0	0.790472	0	0	3
