Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0185232252
2	2	0	0.0370464503
3	2	0	0.0555696755
4	3	0	0.0740929006
5	3	0	0.0926161258
6	4	0	0.111139351
7	4	0	0.129662576
8	5	0	0.148185801
9	6	0	0.166709026
10	6	0	0.185232252
11	7	0	0.203755477
12	8	0	0.222278702
13	8	0	0.240801927
14	9	0	0.259325152
15	9	0	0.277848377
16	10	0	0.296371603
17	11	0	0.314894828
18	11	0	0.333418053
19	12	0	0.351941278
20	12	0	0.370464503
21	13	0	0.388987728
22	13	0	0.407510954
23	14	0	0.426034179
24	15	0	0.444557404
25	16	0	0.463080629
26	17	0	0.481603854
27	17	0	0.500127079
28	18	0	0.518650305
29	19	0	0.53717353
30	19	0	0.555696755
31	20	0	0.57421998
32	20	0	0.592743205
33	21	0	0.61126643
34	22	0	0.629789656
35	22	0	0.648312881
36	23	0	0.666836106
37	24	0	0.685359331
38	24	0	0.703882556
39	25	0	0.722405781
40	25	0	0.740929006
41	26	0	0.759452232
42	27	0	0.777975457
43	27	0	0.796498682
44	28	0	0.815021907
45	28	0	0.833545132
46	29	0	0.852068357
47	29	0	0.870591583
48	30	0	0.889114808
49	31	0	0.907638033
50	31	0	0.926161258
51	32	0	0.944684483
52	33	0	0.963207708
53	33	0	0.981730934
54	34	0	1.00025416
55	34	0	1.01877738
56	35	0	1.03730061
57	35	0	1.05582383
58	36	0	1.07434706
59	37	0	1.09287028
60	38	0	1.11139351
61	39	0	1.12991673
62	39	0	1.14843996
63	40	0	1.16696319
64	40	0	1.18548641
65	41	0	1.20400964
66	41	0	1.22253286
67	42	0	1.24105609
68	42	0	1.25957931
69	43	0	1.27810254
70	43	0	1.29662576
71	44	0	1.31514899
72	45	0	1.33367221
73	45	0	1.35219544
74	46	0	1.37071866
75	46	0	1.38924189
76	47	0	1.40776511
77	48	0	1.42628834
78	48	0	1.44481156
79	49	0	1.46333479
80	49	0	1.48185801
81	50	0	1.50038124
82	50	0	1.51890446
